547.76043701;	2.98039222
547.76043701;	2.90196085
547.76043701;	2.94117641
547.76043701;	3.01960778
547.77270508;	3.01960778
547.77270508;	3.00000000
547.77270508;	2.94117641
547.77270508;	2.90196085
547.78100586;	2.96078420
547.78100586;	2.94117641
547.79315186;	2.92156863
547.79315186;	2.96078420
547.79315186;	2.90196085
547.79315186;	2.74509811
547.80548096;	2.76470590
547.80548096;	2.74509811
547.80548096;	2.68627453
547.80548096;	2.58823538
547.81787109;	2.60784316
547.81787109;	2.80392146
547.81787109;	3.03921580
547.81787109;	3.13725495
547.83007813;	3.15686274
547.83007813;	3.13725495
547.83007813;	3.09803915
547.83007813;	3.01960778
547.83831787;	2.92156863
547.83831787;	2.80392146
547.83831787;	2.74509811
547.85095215;	2.66666675
547.85095215;	2.66666675
547.85095215;	2.92156863
547.85095215;	3.03921580
547.86334229;	3.03921580
547.86334229;	3.07843137
547.86334229;	3.13725495
547.86334229;	3.05882359
547.87512207;	2.92156863
547.87512207;	2.74509811
547.87512207;	2.70588231
547.87512207;	2.80392146
547.88330078;	2.84313726
547.88330078;	2.72549009
547.88330078;	2.74509811
547.89562988;	2.90196085
547.89562988;	2.98039222
547.89562988;	2.94117641
547.89562988;	3.00000000
547.90789795;	2.98039222
547.90789795;	2.84313726
547.90789795;	2.76470590
547.90789795;	2.70588231
547.92022705;	2.64705873
547.92022705;	2.62745094
547.92022705;	2.76470590
547.92022705;	2.88235283
547.92834473;	3.00000000
547.92834473;	3.03921580
547.92834473;	2.90196085
547.94067383;	2.70588231
547.94067383;	2.66666675
547.94067383;	2.74509811
547.94067383;	2.88235283
547.95300293;	2.98039222
547.95300293;	2.94117641
547.95300293;	2.82352948
547.95300293;	2.86274505
547.96533203;	2.94117641
547.96533203;	2.98039222
547.96533203;	2.98039222
547.96533203;	2.98039222
547.97351074;	3.03921580
547.97351074;	2.96078420
547.97351074;	2.82352948
547.98565674;	2.72549009
547.98565674;	2.62745094
547.98565674;	2.64705873
547.98565674;	2.78431368
547.99804688;	2.92156863
547.99804688;	3.01960778
547.99804688;	3.07843137
547.99804688;	2.94117641
548.01037598;	2.76470590
548.01037598;	2.74509811
548.01037598;	2.80392146
548.01037598;	2.90196085
