1028.10644531;	2.68627453
1028.10644531;	2.11764717
1028.11865234;	1.68627453
1028.11865234;	1.84313726
1028.11865234;	2.27450991
1028.11865234;	2.98039222
1028.13098145;	3.13725495
1028.13098145;	2.60784316
1028.13098145;	2.37254906
1028.13098145;	2.45098042
1028.14318848;	2.66666675
1028.14318848;	3.05882359
1028.14318848;	3.05882359
1028.14318848;	2.58823538
1028.15148926;	1.80392158
1028.15148926;	1.82352936
1028.16381836;	2.43137264
1028.16381836;	2.76470590
1028.16381836;	2.58823538
1028.16381836;	2.15686274
1028.17626953;	1.80392158
1028.17626953;	2.00000000
1028.17626953;	2.29411769
1028.17626953;	2.94117641
1028.18823242;	3.52941179
1028.18823242;	3.07843137
1028.18823242;	2.15686274
1028.18823242;	1.90196073
1028.20056152;	2.25490189
1028.20056152;	2.68627453
1028.20056152;	3.09803915
1028.20056152;	2.98039222
1028.20874023;	2.25490189
1028.20874023;	1.41176474
1028.20874023;	1.27450979
1028.22094727;	1.35294116
1028.22094727;	1.70588231
1028.22094727;	1.98039210
1028.22094727;	1.50980389
1028.23327637;	0.72549021
1028.23327637;	0.21568628
1028.23327637;	0.29411766
1028.23327637;	0.47058824
1028.24560547;	0.94117647
1028.24560547;	1.17647064
1028.24560547;	0.90196079
1028.24560547;	0.31372550
1028.25378418;	0.23529412
1028.25378418;	0.47058824
1028.25378418;	0.78431374
1028.26660156;	1.15686274
1028.26660156;	1.03921568
1028.26660156;	0.47058824
1028.26660156;	0.00000000
1028.27844238;	0.00000000
1028.27844238;	0.00000000
1028.27844238;	0.19607843
1028.27844238;	0.50980395
1028.29064941;	0.47058824
1028.29064941;	0.15686275
1028.29064941;	0.13725491
1028.29064941;	0.64705884
1028.29882813;	1.13725495
1028.29882813;	1.37254906
1028.29882813;	1.13725495
1028.31152344;	0.52941179
1028.31152344;	0.00000000
1028.31152344;	0.01960784
1028.31152344;	0.31372550
1028.32348633;	0.62745100
1028.32348633;	0.78431374
1028.32348633;	0.39215687
1028.32348633;	0.00000000
1028.33581543;	0.00000000
1028.33581543;	0.00000000
1028.33581543;	0.13725491
1028.33581543;	0.50980395
1028.34436035;	0.58823532
1028.34436035;	0.15686275
1028.34436035;	0.00000000
1028.35681152;	0.00000000
1028.35681152;	0.00000000
1028.35681152;	0.00000000
1028.35681152;	0.19607843
1028.36877441;	0.27450982
1028.36877441;	0.01960784
1028.36877441;	0.00000000
1028.36877441;	0.00000000
1028.38085938;	0.00000000
1028.38085938;	0.00000000
1028.38085938;	0.01960784
1028.38085938;	0.00000000
1028.38903809;	0.00000000
1028.38903809;	0.03921569
1028.38903809;	0.37254903
1028.40124512;	0.72549021
1028.40124512;	1.21568632
1028.40124512;	1.52941179
1028.40124512;	1.27450979
1028.41345215;	0.60784316
1028.41345215;	0.21568628
1028.41345215;	0.21568628
1028.41345215;	0.37254903
1028.42602539;	0.72549021
1028.42602539;	0.90196079
1028.42602539;	0.74509805
